"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Jakeem Grant",3000,"Cle@Mia 01:00PM ET",0.000,"Mia"
"WR","Jordan Payton",3000,"Cle@Mia 01:00PM ET",0,"Cle"
"WR","Ricardo Louis",3000,"Cle@Mia 01:00PM ET",0.000,"Cle"
"WR","Leonte Carroo",3000,"Cle@Mia 01:00PM ET",1.700,"Mia"
"WR","Rashard Higgins",3000,"Cle@Mia 01:00PM ET",0.000,"Cle"
"DST","Dolphins ",3000,"Cle@Mia 01:00PM ET",8.000,"Mia"
"RB","Kyle Juszczyk",3000,"Bal@Jax 01:00PM ET",3.050,"Bal"
"RB","Denard Robinson",3000,"Bal@Jax 01:00PM ET",1.550,"Jax"
"RB","Corey Grant",3000,"Bal@Jax 01:00PM ET",4.250,"Jax"
"RB","Javorius Allen",3000,"Bal@Jax 01:00PM ET",0,"Bal"
"RB","Kenneth Dixon",3000,"Bal@Jax 01:00PM ET",0,"Bal"
"WR","Devin Hester",3000,"Bal@Jax 01:00PM ET",0.000,"Bal"
"WR","Bryan Walters",3000,"Bal@Jax 01:00PM ET",0,"Jax"
"WR","Arrelious Benn",3000,"Bal@Jax 01:00PM ET",0.950,"Jax"
"WR","Marqise Lee",3000,"Bal@Jax 01:00PM ET",8.350,"Jax"
"WR","Rashad Greene",3000,"Bal@Jax 01:00PM ET",1.800,"Jax"
"WR","Chris Moore",3000,"Bal@Jax 01:00PM ET",2.100,"Bal"
"WR","Breshad Perriman",3000,"Bal@Jax 01:00PM ET",4.850,"Bal"
"RB","Michael Burton",3000,"Det@GB 01:00PM ET",0.000,"Det"
"RB","Zach Zenner",3000,"Det@GB 01:00PM ET",0,"Det"
"RB","Aaron Ripkowski",3000,"Det@GB 01:00PM ET",0.000,"GB"
"WR","Andre Roberts",3000,"Det@GB 01:00PM ET",0.900,"Det"
"WR","Jared Abbrederis",3000,"Det@GB 01:00PM ET",0.900,"GB"
"WR","Ty Montgomery",3000,"Det@GB 01:00PM ET",0.000,"GB"
"WR","Trevor Davis",3000,"Det@GB 01:00PM ET",0.000,"GB"
"DST","Packers ",3000,"Det@GB 01:00PM ET",6.000,"GB"
"RB","Rex Burkhead",3000,"Den@Cin 01:00PM ET",0.000,"Cin"
"RB","Kapri Bibbs",3000,"Den@Cin 01:00PM ET",1.150,"Den"
"RB","Andy Janovich",3000,"Den@Cin 01:00PM ET",5.450,"Den"
"RB","Devontae Booker",3000,"Den@Cin 01:00PM ET",2.950,"Den"
"WR","Jordan Norwood",3000,"Den@Cin 01:00PM ET",2.700,"Den"
"WR","Bennie Fowler",3000,"Den@Cin 01:00PM ET",0,"Den"
"WR","James Wright",3000,"Den@Cin 01:00PM ET",1.550,"Cin"
"WR","Jordan Taylor",3000,"Den@Cin 01:00PM ET",1.500,"Den"
"WR","Cody Latimer",3000,"Den@Cin 01:00PM ET",1.600,"Den"
"WR","Alex Erickson",3000,"Den@Cin 01:00PM ET",1.500,"Cin"
"WR","Cody Core",3000,"Den@Cin 01:00PM ET",0,"Cin"
"TE","Virgil Green",3000,"Den@Cin 01:00PM ET",7.200,"Den"
"RB","Mike Tolbert",3000,"Min@Car 01:00PM ET",2.100,"Car"
"RB","Matt Asiata",3000,"Min@Car 01:00PM ET",2.400,"Min"
"RB","Zach Line",3000,"Min@Car 01:00PM ET",0.000,"Min"
"RB","Cameron Artis-Payne",3000,"Min@Car 01:00PM ET",0,"Car"
"WR","Charles Johnson",3000,"Min@Car 01:00PM ET",2.500,"Min"
"WR","Brenton Bersin",3000,"Min@Car 01:00PM ET",0.000,"Car"
"WR","Jarius Wright",3000,"Min@Car 01:00PM ET",0,"Min"
"WR","Corey Brown",3000,"Min@Car 01:00PM ET",3.300,"Car"
"WR","Damiere Byrd",3000,"Min@Car 01:00PM ET",0,"Car"
